stock_no, com_name, owner_capital, roe_3yr, stock_count, stock_current_price, stock_value_price,expected_rise_percent, evevitada, url
214420,토니모리,62700000000.0,-26.37,24054799.0,4795,-7578,-258.03962460896764,-11.01,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=214420
085620,미래에셋생명,2285100000000.0,4.248333333333334,177016189.0,4020,6046,50.398009950248756,3.54,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=085620
214390,경보제약,156100000000.0,5.7683333333333335,23906860.0,8700,4153,-52.26436781609195,11.78,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=214390
210980,SK디앤디,524400000000.0,14.541666666666666,22190164.0,29350,37889,29.093696763202725,9.03,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=210980
138250,엔에스쇼핑,417700000000.0,1.5216666666666667,33696000.0,14000,2080,-85.14285714285714,18.58,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=138250
145210,다이나믹디자인,64000000000.0,-68.21333333333332,158289246.0,234,-3041,-1399.5726495726497,-59.85,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=145210
213500,한솔제지,634800000000.0,8.389999999999999,23800576.0,12200,24672,102.22950819672133,5.43,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=213500
210540,디와이파워,189100000000.0,14.198333333333332,11041708.0,13700,26809,95.68613138686132,2.88,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=210540
028260,삼성물산,30198000000000.0,4.838333333333334,186887081.0,108500,86196,-20.55668202764977,13.71,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=028260
112610,씨에스윈드,413100000000.0,7.728333333333333,42171403.0,59900,8347,-86.06510851419031,21.05,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=112610
018260,삼성에스디에스,6669000000000.0,9.093333333333334,77377800.0,139000,86409,-37.83525179856115,5.24,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=018260
204320,만도,1637500000000.0,3.975,46957120.0,46200,15283,-66.91991341991343,8.41,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=204320
200880,서연이화,602900000000.0,-6.016666666666666,27028437.0,6970,-14797,-312.2955523672884,4.42,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=200880
192400,쿠쿠홀딩스,760900000000.0,14.481666666666667,35562185.0,17550,34163,94.66096866096866,4.16,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=192400
133820,화인베스틸,76300000000.0,-11.476666666666667,29550000.0,3555,-3267,-191.8987341772152,-42.25,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=133820
027410,BGF,1510500000000.0,2.2399999999999998,95716791.0,5020,3897,-22.370517928286855,8.09,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=027410
192820,코스맥스,342900000000.0,8.846666666666668,11349509.0,84700,29469,-65.20779220779221,13.07,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=192820
185750,종근당,551400000000.0,14.621666666666664,11988038.0,96200,74150,-22.92099792099792,7.63,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=185750
006880,신송홀딩스,89900000000.0,-10.921666666666665,11828858.0,5050,-9152,-281.2277227722772,13.68,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=006880
183190,아세아시멘트,814400000000.0,2.986666666666667,3895809.0,151000,68837,-54.412582781456955,8.12,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=183190
064350,현대로템,1363500000000.0,-15.423333333333334,109142293.0,19400,-21244,-209.50515463917526,21.73,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=064350
180640,한진칼,1514000000000.0,-16.051666666666666,66761264.0,53300,-40134,-175.2983114446529,-57.81,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=180640
181710,엔에이치엔,1596900000000.0,1.9000000000000004,37517915.0,35500,8916,-74.88450704225352,4.47,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=181710
