stock_no, com_name, owner_capital, roe_3yr, stock_count, stock_current_price, stock_value_price,expected_rise_percent, url, evevitda
035890,서희건설,519300000000.0,22.314999999999998,229808457.0,1655,5560,235.95166163141994,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=035890,1.18
036930,주성엔지니어링,227400000000.0,5.996666666666666,48249212.0,27550,3116,-88.6896551724138,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=036930,-139.75
036030,케이티알파,193900000000.0,-0.7483333333333335,49019283.0,6270,-326,-105.19936204146731,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=036030,5.86
032190,다우데이타,749400000000.0,12.653333333333334,38300000.0,13500,27297,102.2,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=032190,-16.21
005290,동진쎄미켐,433800000000.0,19.525000000000002,51414494.0,36450,18163,-50.17009602194788,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=005290,11.66
003100,선광,303500000000.0,1.9766666666666668,6600000.0,60300,10022,-83.37976782752902,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=003100,10.77
026040,제이에스티나,30900000000.0,-37.14,16503790.0,3375,-7667,-327.1703703703704,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=026040,-6.9
036180,지더블유바이텍,12500000000.0,-53.74,32587795.0,2060,-2273,-210.3398058252427,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=036180,126.12
036170,클라우드에어,84300000000.0,-12.835,61365626.0,1390,-1944,-239.85611510791367,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=036170,-109.91
037230,한국팩키지,44900000000.0,4.915,30302795.0,3860,803,-79.19689119170984,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=037230,39.47
037460,삼지전자,219700000000.0,10.028333333333334,16318522.0,11200,14886,32.910714285714285,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=037460,4.25
037400,우리조명,78100000000.0,1.2733333333333334,26223346.0,2820,418,-85.177304964539,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=037400,1.34
033640,네패스,208100000000.0,-3.103333333333332,23059202.0,29600,-3088,-110.43243243243244,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=033640,14.1
037330,인지디스플레,179500000000.0,6.681666666666666,43885224.0,2720,3013,10.772058823529413,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=037330,3.89
036090,위지트,90700000000.0,4.45,95639038.0,1350,465,-65.55555555555556,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=036090,482.21
036200,유니셈,147200000000.0,17.601666666666667,30664223.0,11850,9316,-21.383966244725737,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=036200,9.03
