N,종목명,현재가,전일비,등락률,액면가,거래량,시가,고가,저가,매수호가,매도호가,거래대금,전일거래량,매수총잔량,매도총잔량,상장주식수,외국인비율,시가총액,매출액,자산총계,부채총계,영업이익,매출액증가율,당기순이익,주당순이익,보통주배당금,영업이익증가율,PER,ROE,ROA,PBR,유보율
51,피엔티,"47,200",700,+1.51%,500,"329,973","46,400","47,800","45,950","47,150","47,200","15,534","451,958","10,463","14,542","22,741",5.80,"10,734","3,900","4,354","3,105",553,21.36,344,"2,389",100,"3,642.13",19.76,33.56,7.36,6.02,"1,128.7"
52,콜마비앤에이치,"35,800",450,-1.24%,500,"101,860","36,000","36,400","35,300","35,750","35,800","3,654","99,398","10,109","7,759","29,544",2.35,"10,577","6,069","5,080","1,804","1,092",38.27,801,"2,305",320,47.36,15.53,27.88,17.91,2.87,"2,100.0"
53,하나머티리얼즈,"53,200",100,+0.19%,500,"97,388","53,100","53,500","51,900","53,200","53,300","5,135","84,706","2,697","5,008","19,753",25.54,"10,508","2,007","3,525","1,645",531,29.62,380,"2,954",300,29.85,18.01,22.82,11.75,4.46,"1,743.5"
54,디어유,"47,200",800,-1.67%,500,"82,761","47,400","48,150","45,500","47,200","47,300","3,906","187,537","2,940","1,285","21,977",0.98,"10,373",130,137,159,-5,675.10,-22,N/A,0,94.42,N/A,174.08,-18.21,N/A,-129.3
55,유진테크,"44,700",900,-1.97%,500,"115,394","45,250","45,250","44,200","44,700","44,800","5,156","164,199","5,474","3,592","22,916",22.70,"10,243","2,026","2,940",450,223,-1.40,99,"2,162",230,-6.41,20.68,1.48,3.45,3.53,"2,011.1"
56,덕산네오룩스,"41,200","1,150",-2.72%,200,"191,092","42,400","42,400","40,900","41,200","41,250","7,890","381,909","28,747","4,572","24,831",9.94,"10,230","1,442","2,209",282,401,47.30,333,"1,921",0,93.21,21.45,18.91,16.58,4.30,"3,917.0"
57,메가스터디교육,"86,000","3,900",-4.34%,100,"78,215","89,200","89,400","85,800","85,900","86,000","6,818","214,907","3,298","1,336","11,862",32.52,"10,201","4,747","5,540","2,771",328,8.55,210,"5,927",750,-44.97,14.51,8.38,4.26,3.07,"22,288.6"
58,네이처셀,"16,250",400,-2.40%,500,"375,025","16,650","16,900","16,150","16,250","16,300","6,178","331,684","62,209","17,227","62,627",5.88,"10,177",167,857,231,-64,-27.53,-189,-623,0,-464.13,-26.08,-26.10,-21.10,15.73,90.7
59,자이언트스텝,"46,200","1,400",-2.94%,500,"130,734","47,400","47,600","45,950","46,150","46,200","6,082","178,568","12,169","2,316","21,834",3.29,"10,087",202,227,78,-15,-4.60,-14,-97,0,43.28,-476.29,-13.13,-7.21,30.21,261.0
60,바이오니아,"38,750",300,-0.77%,500,"1,524,400","39,200","40,750","38,450","38,750","38,800","60,036","1,158,827","39,835","4,243","25,810",5.13,"10,001","2,070","1,912",432,"1,052",470.33,592,"2,276",0,"1,334.58",17.03,65.71,43.32,5.81,977.8
61,HLB생명과학,"10,400",400,-3.70%,500,"359,072","10,800","10,800","10,400","10,400","10,450","3,773","387,649","115,620","52,122","95,498",6.94,"9,932",918,"3,272",395,-81,-19.49,-558,-302,0,-80.09,-34.44,-17.97,-15.25,3.24,974.4
62,차바이오텍,"17,450",150,-0.85%,500,"172,282","17,600","17,650","17,300","17,400","17,450","3,001","229,020","61,268","25,360","56,261",7.30,"9,817","6,647","13,137","6,768",-24,24.34,-342,-500,0,-141.92,-34.90,-5.10,-2.76,2.23,"1,414.2"
63,하림지주,"10,300",100,-0.96%,100,"181,662","10,350","10,400","10,150","10,250","10,300","1,863","271,980","76,531","70,933","92,342",5.27,"9,511","77,233","93,637","59,090","3,540",5.08,"1,736","2,593",50,15.51,3.97,3.18,1.93,0.38,"20,987.5"
64,골프존,"151,400",900,-0.59%,500,"16,202","152,300","152,600","149,700","151,300","151,400","2,443","40,085",480,"1,143","6,275",20.73,"9,501","2,985","3,673","1,417",516,20.85,375,"12,616","2,500",59.68,12.00,18.03,11.03,3.33,"7,054.8"
65,다원시스,"30,000",550,+1.87%,500,"576,112","29,500","30,350","28,700","29,950","30,000","17,132","247,605","16,763","53,986","31,631",6.29,"9,489","2,479","6,115","3,890",164,41.62,147,376,96,98.80,79.79,6.86,2.57,3.21,"1,497.6"
66,하나마이크론,"19,700",50,+0.25%,500,"891,714","19,550","20,150","19,500","19,700","19,750","17,695","1,857,944","97,282","196,260","47,922",5.65,"9,441","5,395","7,648","5,181",510,8.28,36,111,0,12.73,177.48,-11.81,0.49,4.62,752.9
67,동국제약,"20,850",400,-1.88%,500,"62,261","20,950","21,250","20,700","20,850","20,900","1,297","67,844","29,680","2,109","44,460",18.37,"9,270","5,591","6,632","2,274",847,15.93,579,972,180,23.55,21.45,14.45,9.59,2.13,"1,729.0"
68,오스코텍,"29,800","1,200",-3.87%,500,"146,465","30,800","30,950","29,700","29,750","29,800","4,394","168,624","23,318","5,732","30,207",6.11,"9,002",435,764,191,16,895.09,-20,-586,0,107.96,-50.85,-8.35,-2.75,26.95,218.9
