N,종목명,현재가,전일비,등락률,액면가,거래량,시가,고가,저가,매수호가,매도호가,거래대금,전일거래량,매수총잔량,매도총잔량,상장주식수,외국인비율,시가총액,매출액,자산총계,부채총계,영업이익,매출액증가율,당기순이익,주당순이익,보통주배당금,영업이익증가율,PER,ROE,ROA,PBR,유보율
44,삼성화재,"190,000",500,+0.26%,500,"39,543","189,500","191,000","188,000","189,500","190,000","7,494","107,526","23,837","15,617","47,375",48.76,"90,012","240,449","925,964","763,138","10,444",4.97,"7,573","23,131","8,800",20.61,8.21,4.96,0.85,0.53,"67,009.0"
45,포스코케미칼,"115,500","2,000",-1.70%,500,"73,463","117,000","117,000","114,500","115,000","115,500","8,484","193,958","51,715","21,910","77,463",6.40,"89,470","15,662","20,881","10,644",603,5.56,297,"1,791",285,-32.93,64.49,2.96,1.56,3.78,"3,192.2"
46,넷마블,"102,000","2,500",-2.39%,100,"102,658","105,000","105,000","101,500","102,000","102,500","10,507","164,184","75,286","41,013","85,954",22.92,"87,673","24,848","82,234","25,728","2,720",14.05,"3,380","2,704",767,34.24,37.72,6.35,4.82,1.45,"59,559.9"
47,SK아이이테크놀로지,"121,500","4,000",-3.19%,"1,000","139,078","124,500","124,500","121,000","122,000","122,500","16,989","180,437","107,366","29,695","71,298",10.64,"86,627","4,693","19,916","7,834","1,252",78.42,882,"1,521",0,55.44,79.88,11.00,6.36,3.89,"1,864.3"
48,KT,"32,250",400,+1.26%,"5,000","604,380","31,800","32,250","31,600","32,150","32,200","19,464","688,452","42,767","113,953","261,112",39.78,"84,209","239,167","336,625","181,111","11,841",-1.75,"7,034","3,914","1,350",2.12,8.24,4.76,2.06,0.52,869.0
49,LG이노텍,"336,500","8,500",-2.46%,"5,000","309,454","344,000","348,000","336,000","336,500","337,000","105,618","638,212","23,158","11,948","23,667",22.88,"79,640","149,456","77,414","44,271","12,642",56.63,"8,883","37,532","3,000",85.64,8.97,30.94,12.89,2.40,"2,688.8"
50,기업은행,"10,550",150,-1.40%,"5,000","330,849","10,650","10,650","10,550","10,550","10,600","3,502","1,498,894","756,452","534,761","744,301",14.03,"78,524","185,746","3,616,162","3,364,738","21,255",9.66,"15,479","2,702",471,-4.60,3.92,6.44,0.46,0.30,501.0
N,종목명,현재가,전일비,등락률,액면가,거래량,시가,고가,저가,매수호가,매도호가,거래대금,전일거래량,매수총잔량,매도총잔량,상장주식수,외국인비율,시가총액,매출액,자산총계,부채총계,영업이익,매출액증가율,당기순이익,주당순이익,보통주배당금,영업이익증가율,PER,ROE,ROA,PBR,유보율
51,SK스퀘어,"53,400","1,700",-3.09%,100,"695,532","54,600","54,700","53,200","53,300","53,400","37,309","1,417,086","191,213","27,117","141,468",39.12,"75,544",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
52,롯데케미칼,"202,000","5,000",-2.42%,"5,000","97,699","207,000","208,000","202,000","202,500","203,000","20,000","190,787","34,167","9,506","34,275",24.70,"69,236","122,230","193,865","56,742","3,569",-19.18,"1,753","39,751","3,600",-67.77,5.08,1.22,0.89,0.48,"7,560.8"
