N,종목명,현재가,전일비,등락률,액면가,거래량,시가,고가,저가,매수호가,매도호가,거래대금,전일거래량,매수총잔량,매도총잔량,상장주식수,외국인비율,시가총액,매출액,자산총계,부채총계,영업이익,매출액증가율,당기순이익,주당순이익,보통주배당금,영업이익증가율,PER,ROE,ROA,PBR,유보율
36,에이비엘바이오,"27,550",300,+1.10%,500,"1,128,786","28,100","29,100","27,000","27,550","27,600","31,521","1,336,909","17,228","10,201","47,215",4.01,"13,008",81,999,92,-596,103.17,-556,-870,0,-47.54,-31.67,-49.94,-45.80,18.36,187.7
37,HK이노엔,"44,000","2,250",+5.39%,500,"173,433","42,600","44,150","42,600","43,700","44,000","7,579","127,768","16,551","10,824","28,904",3.08,"12,718","5,984","16,147","8,714",870,10.84,279,"1,206",0,20.12,36.48,3.83,1.72,1.11,"1,499.0"
38,클래시스,"19,300",100,+0.52%,100,"748,279","19,550","19,700","19,050","19,250","19,300","14,477","1,323,096","44,460","51,952","64,777",5.24,"12,502",765,"1,375",138,406,-5.76,382,732,60,-2.64,26.37,36.06,30.39,8.11,"1,812.9"
39,신라젠,"12,100",0,0.00%,500,0,0,0,0,0,0,0,0,0,0,"102,867",2.25,"12,447",17,474,245,-342,-81.59,-478,-170,0,41.51,-71.18,-114.04,-81.63,10.78,-80.8
40,와이지엔터테인먼트,"67,000","3,200",+5.02%,500,"492,863","65,000","67,400","63,900","67,000","67,100","32,716","339,405","22,489","38,563","18,446",7.60,"12,359","2,553","5,428","1,203",107,0.66,32,343,0,100.69,195.34,2.74,0.60,3.18,"3,657.0"
41,케이엠더블유,"30,900",700,+2.32%,500,"212,880","30,950","31,800","30,500","30,800","30,900","6,630","115,463","12,419","8,361","39,821",3.90,"12,305","3,385","3,878","1,438",327,-50.43,266,106,N/A,-76.29,291.51,11.54,6.54,4.83,"1,109.0"
42,고영,"17,650",400,+2.32%,100,"467,112","17,350","18,000","17,250","17,600","17,650","8,200","366,453","21,349","27,074","68,655",64.23,"12,118","1,795","3,026",565,158,-19.15,92,439,110,-52.47,40.21,3.74,3.01,4.35,"3,696.4"
43,이오테크닉스,"96,600","4,100",+4.43%,500,"91,485","94,200","97,700","94,200","96,500","96,600","8,803","103,109","2,599","5,721","12,320",15.59,"11,901","3,251","4,812",713,385,57.47,216,"3,951",300,442.04,24.45,5.38,4.65,2.53,"6,557.7"
44,제넥신,"47,350","2,400",+5.34%,500,"151,170","45,750","47,900","45,750","47,200","47,350","7,121","90,800","3,686","5,981","25,029",8.67,"11,851",185,"5,969",604,-392,N/A,275,24,0,N/A,"1,972.92",N/A,N/A,1.78,"3,216.2"
45,주성엔지니어링,"24,400",250,-1.01%,500,"1,611,276","25,300","25,350","24,050","24,350","24,400","39,506","2,348,010","108,901","42,962","48,249",13.90,"11,773","1,185","5,492","3,218",-250,-53.44,-82,"1,309",0,-185.99,18.64,-3.53,-1.65,4.20,746.4
46,현대바이오,"30,400",600,+2.01%,500,"932,406","30,250","30,900","30,050","30,350","30,400","28,388","3,113,611","39,846","33,539","38,677",3.47,"11,758",125,923,411,-45,-58.41,-86,-371,0,-277.67,-81.94,-17.53,-11.07,17.05,239.0
47,레고켐바이오,"47,900","3,250",+7.28%,500,"411,010","45,600","48,050","45,550","47,800","47,900","19,434","276,874","4,486","24,431","24,235",8.18,"11,609",494,"1,359",238,-298,-14.10,-70,"-1,652",0,-453.60,-29.00,-6.19,-5.04,5.47,786.1
48,바이오니아,"43,400","1,800",+4.33%,500,"2,296,410","41,550","43,600","41,150","43,350","43,400","97,885","7,711,119","35,262","39,984","25,810",5.38,"11,202","2,070","1,912",432,"1,052",470.33,592,"2,276",0,"1,334.58",19.07,65.71,43.32,6.51,977.8
49,NICE평가정보,"18,350",500,+2.80%,500,"204,506","18,050","18,500","18,050","18,350","18,400","3,736","85,317","23,927","12,948","60,715",38.32,"11,141","4,460","3,688","1,100",627,8.54,472,859,275,22.16,21.36,19.54,13.72,3.83,789.3
50,지씨셀,"70,300","2,600",+3.84%,500,"93,386","69,300","71,900","69,300","70,200","70,300","6,578","75,693","4,980","6,801","15,800",7.30,"11,108",856,764,245,64,47.79,41,"1,460",100,297.67,48.15,9.12,5.67,12.04,806.6
